scores,apple,steps,time per apple
26.0,720,297889,27.692307692307693
5.0,658,298547,131.6
21.0,808,299355,38.476190476190474
12.0,295,299650,24.583333333333332
5.0,116,299766,23.2
12.0,351,300117,29.25
1.0,79,300196,79.0
21.0,742,300938,35.333333333333336
13.0,418,301356,32.15384615384615
13.0,403,301759,31.0
15.0,617,302376,41.13333333333333
13.0,481,302857,37.0
1.0,463,303320,463.0
10.0,224,303544,22.4
14.0,841,304385,60.07142857142857
19.0,621,305006,32.68421052631579
22.0,604,305610,27.454545454545453
3.0,135,305745,45.0
3.0,129,305874,43.0
1.0,24,305898,24.0
4.0,536,306434,134.0
13.0,450,306884,34.61538461538461
8.0,217,307101,27.125
12.0,325,307426,27.083333333333332
20.0,1013,308439,50.65
23.0,827,309266,35.95652173913044
4.0,97,309363,24.25
3.0,63,309426,21.0
5.0,550,309976,110.0
14.0,462,310438,33.0
9.0,203,310641,22.555555555555557
14.0,303,310944,21.642857142857142
9.0,190,311134,21.11111111111111
17.0,367,311501,21.58823529411765
28.0,845,312346,30.178571428571427
12.0,339,312685,28.25
3.0,72,312757,24.0
13.0,352,313109,27.076923076923077
16.0,333,313442,20.8125
16.0,499,313941,31.1875
22.0,509,314450,23.136363636363637
5.0,159,314609,31.8
16.0,329,314938,20.5625
22.0,509,315447,23.136363636363637
22.0,465,315912,21.136363636363637
28.0,682,316594,24.357142857142858
1.0,108,316702,108.0
8.0,115,316817,14.375
12.0,269,317086,22.416666666666668
16.0,283,317369,17.6875
14.0,266,317635,19.0
9.0,229,317864,25.444444444444443
18.0,484,318348,26.88888888888889
10.0,175,318523,17.5
5.0,119,318642,23.8
7.0,124,318766,17.714285714285715
8.0,95,318861,11.875
8.0,181,319042,22.625
17.0,361,319403,21.235294117647058
8.0,257,319660,32.125
2.0,69,319729,34.5
12.0,335,320064,27.916666666666668
12.0,232,320296,19.333333333333332
12.0,213,320509,17.75
8.0,647,321156,80.875
27.0,506,321662,18.74074074074074
14.0,416,322078,29.714285714285715
23.0,865,322943,37.608695652173914
17.0,379,323322,22.294117647058822
25.0,607,323929,24.28
25.0,653,324582,26.12
20.0,395,324977,19.75
