"value","category"
27.2272727272727,"Tabular"
19.2727272727273,"Onestep"
22.1,"Vector"
22.304347826087,"Tabular"
22.625,"Onestep"
22.0243902439024,"Vector"
24.8461538461538,"Tabular"
25.3548387096774,"Onestep"
17.5555555555556,"Vector"
24.96875,"Tabular"
19.0285714285714,"Onestep"
20.9166666666667,"Vector"
23.5483870967742,"Tabular"
27.96875,"Onestep"
20.6785714285714,"Vector"
19.1379310344828,"Tabular"
19.1428571428571,"Onestep"
22.1851851851852,"Vector"
25.2,"Tabular"
22.7272727272727,"Onestep"
24.7619047619048,"Vector"
20.8571428571429,"Tabular"
28.6315789473684,"Onestep"
22.8918918918919,"Vector"
22.9411764705882,"Tabular"
20.1666666666667,"Onestep"
26.1851851851852,"Vector"
23.6666666666667,"Tabular"
19.35,"Onestep"
25.2307692307692,"Vector"
24.2391304347826,"Tabular"
25.2903225806452,"Onestep"
24.6666666666667,"Vector"
28.1,"Tabular"
24.1666666666667,"Onestep"
27.8333333333333,"Vector"
25.05,"Tabular"
27.9090909090909,"Onestep"
22.2142857142857,"Vector"
27.4642857142857,"Tabular"
18.125,"Onestep"
25.4444444444444,"Vector"
21.4545454545455,"Tabular"
19.64,"Onestep"
17.1612903225806,"Vector"
19.1739130434783,"Tabular"
23.3125,"Onestep"
22.2068965517241,"Vector"
24.6875,"Tabular"
23.4411764705882,"Onestep"
21.3181818181818,"Vector"
25.5714285714286,"Tabular"
17.9090909090909,"Onestep"
23.36,"Vector"
29.7142857142857,"Tabular"
22.5483870967742,"Onestep"
22.7142857142857,"Vector"
23.8235294117647,"Tabular"
17.3421052631579,"Onestep"
23,"Vector"
23.6666666666667,"Tabular"
22.8148148148148,"Onestep"
23.9347826086957,"Vector"
27.0294117647059,"Tabular"
17.3333333333333,"Onestep"
24.375,"Vector"
27.9615384615385,"Tabular"
22.1666666666667,"Onestep"
19.0285714285714,"Vector"
27.5897435897436,"Tabular"
26.12,"Onestep"
27.6818181818182,"Vector"
21.8857142857143,"Tabular"
24.4285714285714,"Onestep"
22.7674418604651,"Vector"
26.1842105263158,"Tabular"
24.8809523809524,"Onestep"
24.1515151515152,"Vector"
25.4722222222222,"Tabular"
24.625,"Onestep"
25.3809523809524,"Vector"
16.3,"Tabular"
25.3157894736842,"Onestep"
23.4285714285714,"Vector"
21.9666666666667,"Tabular"
24.0789473684211,"Onestep"
21.75,"Vector"
21.9411764705882,"Tabular"
25.9047619047619,"Onestep"
21.9166666666667,"Vector"
21.1388888888889,"Tabular"
21.5,"Onestep"
16.4444444444444,"Vector"
23.4772727272727,"Tabular"
24.0666666666667,"Onestep"
18.32,"Vector"
25.1724137931034,"Tabular"
23.3333333333333,"Onestep"
22.1818181818182,"Vector"
20.9285714285714,"Tabular"
22.9354838709677,"Onestep"
20.7727272727273,"Vector"
24.0810810810811,"Tabular"
22.8,"Onestep"
22.7407407407407,"Vector"
21.0227272727273,"Tabular"
25.1935483870968,"Onestep"
22.9210526315789,"Vector"
16.8,"Tabular"
24.2368421052632,"Onestep"
24.8620689655172,"Vector"
25.0740740740741,"Tabular"
23.5111111111111,"Onestep"
23.6756756756757,"Vector"
23.4444444444444,"Tabular"
17.7692307692308,"Onestep"
22.5526315789474,"Vector"
23.5416666666667,"Tabular"
22.8181818181818,"Onestep"
24.9565217391304,"Vector"
22.1351351351351,"Tabular"
24.1538461538462,"Onestep"
18.5862068965517,"Vector"
21.2380952380952,"Tabular"
23.2142857142857,"Onestep"
21.5,"Vector"
24.7777777777778,"Tabular"
24.3658536585366,"Onestep"
23.2702702702703,"Vector"
22.7826086956522,"Tabular"
23.5454545454545,"Onestep"
25.6153846153846,"Vector"
21.2941176470588,"Tabular"
22.9677419354839,"Onestep"
24.78125,"Vector"
24.9473684210526,"Tabular"
27.1071428571429,"Onestep"
17.25,"Vector"
19.6666666666667,"Tabular"
25.8421052631579,"Onestep"
19,"Vector"
20.6470588235294,"Tabular"
19.05,"Onestep"
26.0212765957447,"Vector"
22.1666666666667,"Tabular"
25.0606060606061,"Onestep"
20.4285714285714,"Vector"
21.3333333333333,"Tabular"
22.3076923076923,"Onestep"
24.6774193548387,"Vector"
24.1785714285714,"Tabular"
21.1428571428571,"Onestep"
25.7,"Vector"
22.8666666666667,"Tabular"
22.6875,"Onestep"
26.9166666666667,"Vector"
19.96,"Tabular"
24.2272727272727,"Onestep"
21.2307692307692,"Vector"
25.4444444444444,"Tabular"
23.2222222222222,"Onestep"
23.5526315789474,"Vector"
20.1666666666667,"Tabular"
26.3396226415094,"Onestep"
21.25,"Vector"
20.0869565217391,"Tabular"
23.969696969697,"Onestep"
26.6785714285714,"Vector"
24.3947368421053,"Tabular"
24.8148148148148,"Onestep"
28.4883720930233,"Vector"
24.9444444444444,"Tabular"
23.9473684210526,"Onestep"
23.695652173913,"Vector"
17.7037037037037,"Tabular"
20.5,"Onestep"
26.8928571428571,"Vector"
28.72,"Tabular"
22.7,"Onestep"
26.3461538461538,"Vector"
22.2727272727273,"Tabular"
24.5625,"Onestep"
26.0769230769231,"Vector"
17.4444444444444,"Tabular"
25.05,"Onestep"
24.09375,"Vector"
17.5555555555556,"Tabular"
18.8888888888889,"Onestep"
24.2727272727273,"Vector"
21.4074074074074,"Tabular"
23.0243902439024,"Onestep"
19.1,"Vector"
25.7105263157895,"Tabular"
28.5333333333333,"Onestep"
20.6585365853659,"Vector"
22.1071428571429,"Tabular"
19.4166666666667,"Onestep"
23.5833333333333,"Vector"
22.093023255814,"Tabular"
24.2058823529412,"Onestep"
22.8,"Vector"
21.1944444444444,"Tabular"
22.6428571428571,"Onestep"
